WDCD,WDNM,LBCD,LBNM,GORCD,GORNM,CTRYCD,CTRYNM
E05000106,Bickley,E09000006,Bromley,E12000007,London,E92000001,England
E05000107,Biggin Hill,E09000006,Bromley,E12000007,London,E92000001,England
E05000108,Bromley Common and Keston,E09000006,Bromley,E12000007,London,E92000001,England
E05000109,Bromley Town,E09000006,Bromley,E12000007,London,E92000001,England
E05000110,Chelsfield and Pratts Bottom,E09000006,Bromley,E12000007,London,E92000001,England
E05000111,Chislehurst,E09000006,Bromley,E12000007,London,E92000001,England
E05000112,Clock House,E09000006,Bromley,E12000007,London,E92000001,England
E05000113,Copers Cope,E09000006,Bromley,E12000007,London,E92000001,England
E05000114,Cray Valley East,E09000006,Bromley,E12000007,London,E92000001,England
E05000115,Cray Valley West,E09000006,Bromley,E12000007,London,E92000001,England
E05000116,Crystal Palace,E09000006,Bromley,E12000007,London,E92000001,England
E05000117,Darwin,E09000006,Bromley,E12000007,London,E92000001,England
E05000118,Farnborough and Crofton,E09000006,Bromley,E12000007,London,E92000001,England
E05000119,Hayes and Coney Hall,E09000006,Bromley,E12000007,London,E92000001,England
E05000120,Kelsey and Eden Park,E09000006,Bromley,E12000007,London,E92000001,England
E05000121,Mottingham and Chislehurst North,E09000006,Bromley,E12000007,London,E92000001,England
E05000122,Orpington,E09000006,Bromley,E12000007,London,E92000001,England
E05000123,Penge and Cator,E09000006,Bromley,E12000007,London,E92000001,England
E05000124,Petts Wood and Knoll,E09000006,Bromley,E12000007,London,E92000001,England
E05000125,Plaistow and Sundridge,E09000006,Bromley,E12000007,London,E92000001,England
E05000126,Shortlands,E09000006,Bromley,E12000007,London,E92000001,England
E05000127,West Wickham,E09000006,Bromley,E12000007,London,E92000001,England
E05000128,Belsize,E09000007,Camden,E12000007,London,E92000001,England
E05000129,Bloomsbury,E09000007,Camden,E12000007,London,E92000001,England
E05000130,Camden Town with Primrose Hill,E09000007,Camden,E12000007,London,E92000001,England
E05000131,Cantelowes,E09000007,Camden,E12000007,London,E92000001,England
E05000132,Fortune Green,E09000007,Camden,E12000007,London,E92000001,England
E05000133,Frognal and Fitzjohns,E09000007,Camden,E12000007,London,E92000001,England
E05000134,Gospel Oak,E09000007,Camden,E12000007,London,E92000001,England
E05000135,Hampstead Town,E09000007,Camden,E12000007,London,E92000001,England
E05000136,Haverstock,E09000007,Camden,E12000007,London,E92000001,England
E05000137,Highgate,E09000007,Camden,E12000007,London,E92000001,England
E05000138,Holborn and Covent Garden,E09000007,Camden,E12000007,London,E92000001,England
E05000139,Kentish Town,E09000007,Camden,E12000007,London,E92000001,England
E05000140,Kilburn,E09000007,Camden,E12000007,London,E92000001,England
E05000141,King's Cross,E09000007,Camden,E12000007,London,E92000001,England
E05000142,Regent's Park,E09000007,Camden,E12000007,London,E92000001,England
E05000143,St Pancras and Somers Town,E09000007,Camden,E12000007,London,E92000001,England
E05000144,Swiss Cottage,E09000007,Camden,E12000007,London,E92000001,England
E05000145,West Hampstead,E09000007,Camden,E12000007,London,E92000001,England
E05000170,Acton Central,E09000009,Ealing,E12000007,London,E92000001,England
E05000171,Cleveland,E09000009,Ealing,E12000007,London,E92000001,England
E05000172,Dormers Wells,E09000009,Ealing,E12000007,London,E92000001,England
E05000173,Ealing Broadway,E09000009,Ealing,E12000007,London,E92000001,England
E05000174,Ealing Common,E09000009,Ealing,E12000007,London,E92000001,England
E05000175,East Acton,E09000009,Ealing,E12000007,London,E92000001,England
E05000176,Elthorne,E09000009,Ealing,E12000007,London,E92000001,England
E05000177,Greenford Broadway,E09000009,Ealing,E12000007,London,E92000001,England
E05000178,Greenford Green,E09000009,Ealing,E12000007,London,E92000001,England
E05000179,Hanger Hill,E09000009,Ealing,E12000007,London,E92000001,England
E05000180,Hobbayne,E09000009,Ealing,E12000007,London,E92000001,England
E05000181,Lady Margaret,E09000009,Ealing,E12000007,London,E92000001,England
E05000182,Northfield,E09000009,Ealing,E12000007,London,E92000001,England
E05000183,North Greenford,E09000009,Ealing,E12000007,London,E92000001,England
E05000184,Northolt Mandeville,E09000009,Ealing,E12000007,London,E92000001,England
E05000185,Northolt West End,E09000009,Ealing,E12000007,London,E92000001,England
E05000186,Norwood Green,E09000009,Ealing,E12000007,London,E92000001,England
E05000187,Perivale,E09000009,Ealing,E12000007,London,E92000001,England
E05000188,South Acton,E09000009,Ealing,E12000007,London,E92000001,England
E05000189,Southall Broadway,E09000009,Ealing,E12000007,London,E92000001,England
E05000190,Southall Green,E09000009,Ealing,E12000007,London,E92000001,England
E05000191,Southfield,E09000009,Ealing,E12000007,London,E92000001,England
E05000192,Walpole,E09000009,Ealing,E12000007,London,E92000001,England
E05000193,Bowes,E09000010,Enfield,E12000007,London,E92000001,England
E05000194,Bush Hill Park,E09000010,Enfield,E12000007,London,E92000001,England
E05000195,Chase,E09000010,Enfield,E12000007,London,E92000001,England
E05000196,Cockfosters,E09000010,Enfield,E12000007,London,E92000001,England
E05000197,Edmonton Green,E09000010,Enfield,E12000007,London,E92000001,England
E05000198,Enfield Highway,E09000010,Enfield,E12000007,London,E92000001,England
E05000199,Enfield Lock,E09000010,Enfield,E12000007,London,E92000001,England
E05000200,Grange,E09000010,Enfield,E12000007,London,E92000001,England
E05000201,Haselbury,E09000010,Enfield,E12000007,London,E92000001,England
E05000202,Highlands,E09000010,Enfield,E12000007,London,E92000001,England
E05000203,Jubilee,E09000010,Enfield,E12000007,London,E92000001,England
E05000204,Lower Edmonton,E09000010,Enfield,E12000007,London,E92000001,England
E05000205,Palmers Green,E09000010,Enfield,E12000007,London,E92000001,England
E05000206,Ponders End,E09000010,Enfield,E12000007,London,E92000001,England
E05000207,Southbury,E09000010,Enfield,E12000007,London,E92000001,England
E05000208,Southgate,E09000010,Enfield,E12000007,London,E92000001,England
E05000209,Southgate Green,E09000010,Enfield,E12000007,London,E92000001,England
E05000210,Town,E09000010,Enfield,E12000007,London,E92000001,England
E05000211,Turkey Street,E09000010,Enfield,E12000007,London,E92000001,England
E05000212,Upper Edmonton,E09000010,Enfield,E12000007,London,E92000001,England
E05000213,Winchmore Hill,E09000010,Enfield,E12000007,London,E92000001,England
E05000214,Abbey Wood,E09000011,Greenwich,E12000007,London,E92000001,England
E05000215,Blackheath Westcombe,E09000011,Greenwich,E12000007,London,E92000001,England
E05000216,Charlton,E09000011,Greenwich,E12000007,London,E92000001,England
E05000217,Coldharbour and New Eltham,E09000011,Greenwich,E12000007,London,E92000001,England
E05000218,Eltham North,E09000011,Greenwich,E12000007,London,E92000001,England
E05000219,Eltham South,E09000011,Greenwich,E12000007,London,E92000001,England
E05000220,Eltham West,E09000011,Greenwich,E12000007,London,E92000001,England
E05000221,Glyndon,E09000011,Greenwich,E12000007,London,E92000001,England
E05000222,Greenwich West,E09000011,Greenwich,E12000007,London,E92000001,England
E05000223,Kidbrooke with Hornfair,E09000011,Greenwich,E12000007,London,E92000001,England
E05000224,Middle Park and Sutcliffe,E09000011,Greenwich,E12000007,London,E92000001,England
E05000225,Peninsula,E09000011,Greenwich,E12000007,London,E92000001,England
E05000226,Plumstead,E09000011,Greenwich,E12000007,London,E92000001,England
E05000227,Shooters Hill,E09000011,Greenwich,E12000007,London,E92000001,England
E05000228,Thamesmead Moorings,E09000011,Greenwich,E12000007,London,E92000001,England
E05000229,Woolwich Common,E09000011,Greenwich,E12000007,London,E92000001,England
E05000230,Woolwich Riverside,E09000011,Greenwich,E12000007,London,E92000001,England
E05000250,Addison,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000251,Askew,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000252,Avonmore and Brook Green,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000253,College Park and Old Oak,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000254,Fulham Broadway,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000255,Fulham Reach,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000256,Hammersmith Broadway,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000257,Munster,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000258,North End,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000259,Palace Riverside,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000260,Parsons Green and Walham,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000261,Ravenscourt Park,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000262,Sands End,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000263,Shepherd's Bush Green,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000264,Town,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000265,Wormholt and White City,E09000013,Hammersmith and Fulham,E12000007,London,E92000001,England
E05000266,Alexandra,E09000014,Haringey,E12000007,London,E92000001,England
E05000267,Bounds Green,E09000014,Haringey,E12000007,London,E92000001,England
E05000268,Bruce Grove,E09000014,Haringey,E12000007,London,E92000001,England
E05000269,Crouch End,E09000014,Haringey,E12000007,London,E92000001,England
E05000270,Fortis Green,E09000014,Haringey,E12000007,London,E92000001,England
E05000271,Harringay,E09000014,Haringey,E12000007,London,E92000001,England
E05000272,Highgate,E09000014,Haringey,E12000007,London,E92000001,England
E05000273,Hornsey,E09000014,Haringey,E12000007,London,E92000001,England
E05000274,Muswell Hill,E09000014,Haringey,E12000007,London,E92000001,England
E05000275,Noel Park,E09000014,Haringey,E12000007,London,E92000001,England
E05000276,Northumberland Park,E09000014,Haringey,E12000007,London,E92000001,England
E05000277,St Ann's,E09000014,Haringey,E12000007,London,E92000001,England
E05000278,Seven Sisters,E09000014,Haringey,E12000007,London,E92000001,England
E05000279,Stroud Green,E09000014,Haringey,E12000007,London,E92000001,England
E05000280,Tottenham Green,E09000014,Haringey,E12000007,London,E92000001,England
E05000281,Tottenham Hale,E09000014,Haringey,E12000007,London,E92000001,England
E05000282,West Green,E09000014,Haringey,E12000007,London,E92000001,England
E05000283,White Hart Lane,E09000014,Haringey,E12000007,London,E92000001,England
E05000284,Woodside,E09000014,Haringey,E12000007,London,E92000001,England
E05000285,Belmont,E09000015,Harrow,E12000007,London,E92000001,England
E05000286,Canons,E09000015,Harrow,E12000007,London,E92000001,England
E05000287,Edgware,E09000015,Harrow,E12000007,London,E92000001,England
E05000288,Greenhill,E09000015,Harrow,E12000007,London,E92000001,England
E05000289,Harrow on the Hill,E09000015,Harrow,E12000007,London,E92000001,England
E05000290,Harrow Weald,E09000015,Harrow,E12000007,London,E92000001,England
E05000291,Hatch End,E09000015,Harrow,E12000007,London,E92000001,England
E05000292,Headstone North,E09000015,Harrow,E12000007,London,E92000001,England
E05000293,Headstone South,E09000015,Harrow,E12000007,London,E92000001,England
E05000294,Kenton East,E09000015,Harrow,E12000007,London,E92000001,England
E05000295,Kenton West,E09000015,Harrow,E12000007,London,E92000001,England
E05000296,Marlborough,E09000015,Harrow,E12000007,London,E92000001,England
E05000297,Pinner,E09000015,Harrow,E12000007,London,E92000001,England
E05000298,Pinner South,E09000015,Harrow,E12000007,London,E92000001,England
E05000299,Queensbury,E09000015,Harrow,E12000007,London,E92000001,England
E05000300,Rayners Lane,E09000015,Harrow,E12000007,London,E92000001,England
E05000301,Roxbourne,E09000015,Harrow,E12000007,London,E92000001,England
E05000302,Roxeth,E09000015,Harrow,E12000007,London,E92000001,England
E05000303,Stanmore Park,E09000015,Harrow,E12000007,London,E92000001,England
E05000304,Wealdstone,E09000015,Harrow,E12000007,London,E92000001,England
E05000305,West Harrow,E09000015,Harrow,E12000007,London,E92000001,England
E05000306,Brooklands,E09000016,Havering,E12000007,London,E92000001,England
E05000307,Cranham,E09000016,Havering,E12000007,London,E92000001,England
E05000308,Elm Park,E09000016,Havering,E12000007,London,E92000001,England
E05000309,Emerson Park,E09000016,Havering,E12000007,London,E92000001,England
E05000310,Gooshays,E09000016,Havering,E12000007,London,E92000001,England
E05000311,Hacton,E09000016,Havering,E12000007,London,E92000001,England
E05000312,Harold Wood,E09000016,Havering,E12000007,London,E92000001,England
E05000313,Havering Park,E09000016,Havering,E12000007,London,E92000001,England
E05000314,Heaton,E09000016,Havering,E12000007,London,E92000001,England
E05000315,Hylands,E09000016,Havering,E12000007,London,E92000001,England
E05000316,Mawneys,E09000016,Havering,E12000007,London,E92000001,England
E05000317,Pettits,E09000016,Havering,E12000007,London,E92000001,England
E05000318,Rainham and Wennington,E09000016,Havering,E12000007,London,E92000001,England
E05000319,Romford Town,E09000016,Havering,E12000007,London,E92000001,England
E05000320,St Andrew's,E09000016,Havering,E12000007,London,E92000001,England
E05000321,South Hornchurch,E09000016,Havering,E12000007,London,E92000001,England
E05000322,Squirrel's Heath,E09000016,Havering,E12000007,London,E92000001,England
E05000323,Upminster,E09000016,Havering,E12000007,London,E92000001,England
E05000324,Barnhill,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000325,Botwell,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000326,Brunel,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000327,Cavendish,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000328,Charville,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000329,Eastcote and East Ruislip,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000330,Harefield,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000331,Heathrow Villages,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000332,Hillingdon East,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000333,Ickenham,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000334,Manor,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000335,Northwood,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000336,Northwood Hills,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000337,Pinkwell,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000338,South Ruislip,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000339,Townfield,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000340,Uxbridge North,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000341,Uxbridge South,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000342,West Drayton,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000343,West Ruislip,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000344,Yeading,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000345,Yiewsley,E09000017,Hillingdon,E12000007,London,E92000001,England
E05000346,Bedfont,E09000018,Hounslow,E12000007,London,E92000001,England
E05000347,Brentford,E09000018,Hounslow,E12000007,London,E92000001,England
E05000348,Chiswick Homefields,E09000018,Hounslow,E12000007,London,E92000001,England
E05000349,Chiswick Riverside,E09000018,Hounslow,E12000007,London,E92000001,England
E05000350,Cranford,E09000018,Hounslow,E12000007,London,E92000001,England
E05000351,Feltham North,E09000018,Hounslow,E12000007,London,E92000001,England
E05000352,Feltham West,E09000018,Hounslow,E12000007,London,E92000001,England
E05000353,Hanworth,E09000018,Hounslow,E12000007,London,E92000001,England
E05000354,Hanworth Park,E09000018,Hounslow,E12000007,London,E92000001,England
E05000355,Heston Central,E09000018,Hounslow,E12000007,London,E92000001,England
E05000356,Heston East,E09000018,Hounslow,E12000007,London,E92000001,England
E05000357,Heston West,E09000018,Hounslow,E12000007,London,E92000001,England
E05000358,Hounslow Central,E09000018,Hounslow,E12000007,London,E92000001,England
E05000359,Hounslow Heath,E09000018,Hounslow,E12000007,London,E92000001,England
E05000360,Hounslow South,E09000018,Hounslow,E12000007,London,E92000001,England
E05000361,Hounslow West,E09000018,Hounslow,E12000007,London,E92000001,England
E05000362,Isleworth,E09000018,Hounslow,E12000007,London,E92000001,England
E05000363,Osterley and Spring Grove,E09000018,Hounslow,E12000007,London,E92000001,England
E05000364,Syon,E09000018,Hounslow,E12000007,London,E92000001,England
E05000365,Turnham Green,E09000018,Hounslow,E12000007,London,E92000001,England
E05000366,Barnsbury,E09000019,Islington,E12000007,London,E92000001,England
E05000367,Bunhill,E09000019,Islington,E12000007,London,E92000001,England
E05000368,Caledonian,E09000019,Islington,E12000007,London,E92000001,England
E05000369,Canonbury,E09000019,Islington,E12000007,London,E92000001,England
E05000370,Clerkenwell,E09000019,Islington,E12000007,London,E92000001,England
E05000371,Finsbury Park,E09000019,Islington,E12000007,London,E92000001,England
E05000372,Highbury East,E09000019,Islington,E12000007,London,E92000001,England
E05000373,Highbury West,E09000019,Islington,E12000007,London,E92000001,England
E05000374,Hillrise,E09000019,Islington,E12000007,London,E92000001,England
E05000375,Holloway,E09000019,Islington,E12000007,London,E92000001,England
E05000376,Junction,E09000019,Islington,E12000007,London,E92000001,England
E05000377,Mildmay,E09000019,Islington,E12000007,London,E92000001,England
E05000378,St George's,E09000019,Islington,E12000007,London,E92000001,England
E05000379,St Mary's,E09000019,Islington,E12000007,London,E92000001,England
E05000380,St Peter's,E09000019,Islington,E12000007,London,E92000001,England
E05000381,Tollington,E09000019,Islington,E12000007,London,E92000001,England
E05000400,Alexandra,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000401,Berrylands,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000402,Beverley,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000403,Canbury,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000404,Chessington North and Hook,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000405,Chessington South,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000406,Coombe Hill,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000407,Coombe Vale,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000408,Grove,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000409,Norbiton,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000410,Old Malden,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000411,St James,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000412,St Mark's,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000413,Surbiton Hill,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000414,Tolworth and Hook Rise,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000415,Tudor,E09000021,Kingston upon Thames,E12000007,London,E92000001,England
E05000416,Bishop's,E09000022,Lambeth,E12000007,London,E92000001,England
E05000417,Brixton Hill,E09000022,Lambeth,E12000007,London,E92000001,England
E05000418,Clapham Common,E09000022,Lambeth,E12000007,London,E92000001,England
E05000419,Clapham Town,E09000022,Lambeth,E12000007,London,E92000001,England
E05000420,Coldharbour,E09000022,Lambeth,E12000007,London,E92000001,England
E05000421,Ferndale,E09000022,Lambeth,E12000007,London,E92000001,England
E05000422,Gipsy Hill,E09000022,Lambeth,E12000007,London,E92000001,England
E05000423,Herne Hill,E09000022,Lambeth,E12000007,London,E92000001,England
E05000424,Knight's Hill,E09000022,Lambeth,E12000007,London,E92000001,England
E05000425,Larkhall,E09000022,Lambeth,E12000007,London,E92000001,England
E05000426,Oval,E09000022,Lambeth,E12000007,London,E92000001,England
E05000427,Prince's,E09000022,Lambeth,E12000007,London,E92000001,England
E05000428,St Leonard's,E09000022,Lambeth,E12000007,London,E92000001,England
E05000429,Stockwell,E09000022,Lambeth,E12000007,London,E92000001,England
E05000430,Streatham Hill,E09000022,Lambeth,E12000007,London,E92000001,England
E05000431,Streatham South,E09000022,Lambeth,E12000007,London,E92000001,England
E05000432,Streatham Wells,E09000022,Lambeth,E12000007,London,E92000001,England
E05000433,Thornton,E09000022,Lambeth,E12000007,London,E92000001,England
E05000434,Thurlow Park,E09000022,Lambeth,E12000007,London,E92000001,England
E05000435,Tulse Hill,E09000022,Lambeth,E12000007,London,E92000001,England
E05000436,Vassall,E09000022,Lambeth,E12000007,London,E92000001,England
E05000437,Bellingham,E09000023,Lewisham,E12000007,London,E92000001,England
E05000438,Blackheath,E09000023,Lewisham,E12000007,London,E92000001,England
E05000439,Brockley,E09000023,Lewisham,E12000007,London,E92000001,England
E05000440,Catford South,E09000023,Lewisham,E12000007,London,E92000001,England
E05000441,Crofton Park,E09000023,Lewisham,E12000007,London,E92000001,England
E05000442,Downham,E09000023,Lewisham,E12000007,London,E92000001,England
E05000443,Evelyn,E09000023,Lewisham,E12000007,London,E92000001,England
E05000444,Forest Hill,E09000023,Lewisham,E12000007,London,E92000001,England
E05000445,Grove Park,E09000023,Lewisham,E12000007,London,E92000001,England
E05000446,Ladywell,E09000023,Lewisham,E12000007,London,E92000001,England
E05000447,Lee Green,E09000023,Lewisham,E12000007,London,E92000001,England
E05000448,Lewisham Central,E09000023,Lewisham,E12000007,London,E92000001,England
E05000449,New Cross,E09000023,Lewisham,E12000007,London,E92000001,England
E05000450,Perry Vale,E09000023,Lewisham,E12000007,London,E92000001,England
E05000451,Rushey Green,E09000023,Lewisham,E12000007,London,E92000001,England
E05000452,Sydenham,E09000023,Lewisham,E12000007,London,E92000001,England
E05000453,Telegraph Hill,E09000023,Lewisham,E12000007,London,E92000001,England
E05000454,Whitefoot,E09000023,Lewisham,E12000007,London,E92000001,England
E05000455,Abbey,E09000024,Merton,E12000007,London,E92000001,England
E05000456,Cannon Hill,E09000024,Merton,E12000007,London,E92000001,England
E05000457,Colliers Wood,E09000024,Merton,E12000007,London,E92000001,England
E05000458,Cricket Green,E09000024,Merton,E12000007,London,E92000001,England
E05000459,Dundonald,E09000024,Merton,E12000007,London,E92000001,England
E05000460,Figge's Marsh,E09000024,Merton,E12000007,London,E92000001,England
E05000461,Graveney,E09000024,Merton,E12000007,London,E92000001,England
E05000462,Hillside,E09000024,Merton,E12000007,London,E92000001,England
E05000463,Lavender Fields,E09000024,Merton,E12000007,London,E92000001,England
E05000464,Longthornton,E09000024,Merton,E12000007,London,E92000001,England
E05000465,Lower Morden,E09000024,Merton,E12000007,London,E92000001,England
E05000466,Merton Park,E09000024,Merton,E12000007,London,E92000001,England
E05000467,Pollards Hill,E09000024,Merton,E12000007,London,E92000001,England
E05000468,Ravensbury,E09000024,Merton,E12000007,London,E92000001,England
E05000469,Raynes Park,E09000024,Merton,E12000007,London,E92000001,England
E05000470,St Helier,E09000024,Merton,E12000007,London,E92000001,England
E05000471,Trinity,E09000024,Merton,E12000007,London,E92000001,England
E05000472,Village,E09000024,Merton,E12000007,London,E92000001,England
E05000473,West Barnes,E09000024,Merton,E12000007,London,E92000001,England
E05000474,Wimbledon Park,E09000024,Merton,E12000007,London,E92000001,England
E05000475,Beckton,E09000025,Newham,E12000007,London,E92000001,England
E05000476,Boleyn,E09000025,Newham,E12000007,London,E92000001,England
E05000477,Canning Town North,E09000025,Newham,E12000007,London,E92000001,England
E05000478,Canning Town South,E09000025,Newham,E12000007,London,E92000001,England
E05000479,Custom House,E09000025,Newham,E12000007,London,E92000001,England
E05000480,East Ham Central,E09000025,Newham,E12000007,London,E92000001,England
E05000481,East Ham North,E09000025,Newham,E12000007,London,E92000001,England
E05000482,East Ham South,E09000025,Newham,E12000007,London,E92000001,England
E05000483,Forest Gate North,E09000025,Newham,E12000007,London,E92000001,England
E05000484,Forest Gate South,E09000025,Newham,E12000007,London,E92000001,England
E05000485,Green Street East,E09000025,Newham,E12000007,London,E92000001,England
E05000486,Green Street West,E09000025,Newham,E12000007,London,E92000001,England
E05000487,Little Ilford,E09000025,Newham,E12000007,London,E92000001,England
